customerid,value
customer-1239037328305,247
customer-9037328305,77
customer-264810036,58
customer-1292979930,56
customer-43045671505,46
customer-1739521491,45
customer-24967285805,40
customer-27006134415,34
customer-999150471,34
customer-1042414072,32
customer-18694532205,24
customer-91582032002,24
customer-451106397,24
customer-300374667,22
customer-13268884415,21
customer-78427146902,21
customer-1144324960,21
customer-223415697,21
customer-1909394020,21
customer-450274190,21
customer-22830774715,21
customer-91553814402,20
customer-22177647105,20
customer-884056211,20
customer-17913020115,19
customer-299884117,18
customer-1725847821,18
customer-12901053205,18
customer-41714946005,18
customer-1904943241,18
customer-1167543310,18
customer-907622992,16
customer-268582467,16
customer-29447648902,16
customer-360933460,16
customer-86862027402,16
customer-723954001,15
customer-1390046951,15
customer-46128930815,15
customer-9421955325,15
customer-679051861,15
customer-1013500440,15
customer-276229270,15
customer-946666201,15
customer-58558138102,15
customer-957542470,15
customer-409458760,15
customer-522815670,15
customer-1186036256,15
customer-746534271,15
customer-90574316002,14
customer-794210340,14
customer-581968370,14
customer-87061539802,14
customer-55998945602,14
customer-24309273705,14
customer-1041691140,14
customer-57788568,14
customer-79703734802,14
customer-1329277561,14
customer-1570523471,13
customer-50688114202,13
customer-89440061402,13
customer-21945096605,13
customer-332172037,13
customer-25797979815,13
customer-22958622205,13
customer-1544323870,13
customer-24104579305,13
customer-1174618121,13
customer-432374260,12
customer-9290283715,12
customer-820187386,12
customer-280140841,12
customer-10574797835,12
customer-1126487091,12
customer-253101610,12
customer-25403193205,12
customer-242517830,12
customer-158466566,12
customer-7120834005,12
customer-1648700500,12
customer-241514920,12
customer-20322629805,12
customer-1380629351,12
customer-370522641,12
customer-33660807802,12
customer-26375013202,12
customer-26883403915,12
customer-7648940615,12
customer-2020692590,12
customer-2019762991,12
customer-1270958500,12
customer-444361491,12
customer-1109153100,12
customer-420721981,12
customer-1103588620,12
customer-37851771615,12
customer-19196909102,12
customer-1865433791,12
customer-137388407,12
customer-49954138402,12
customer-16184667602,12
customer-53983735,12
customer-629780052,12
customer-77596686502,12
customer-502838547,12
customer-6911391215,12
customer-51294279,12
customer-21694398505,12
customer-718011450,12
customer-1579120410,12
customer-1057601410,12
customer-779047100,12
