customerid,value
91501086402,2381
35014123815,672
356322857,555
91599257702,410
90908081402,401
79049084002,306
458232761,272
83813922002,244
1013461911,237
88890320502,221
1884924801,194
40499793605,168
9604151105,112
43045671505,109
9037328305,97
999150471,95
12009972502,90
424106731,79
51165543405,73
91047301102,72
264810036,72
74655568,66
38457328305,65
1178300411,64
692215771,64
1769526611,62
91591811402,60
25468351902,59
80806803402,58
247294787,58
16507997515,58
10553489902,57
1292979930,56
16737047305,54
31300249302,54
12885738415,54
174372761,54
91591327902,52
101798234,51
11081795915,51
27006134415,51
35211324112,50
91582032002,48
797927376,46
12942418105,45
1739521491,45
880079260,44
24967285805,44
91039990802,43
24470534915,42
79703734802,42
901499790,42
21622551615,42
397259431,42
18600676902,42
122262217,42
1492288910,40
52501327,40
1466288420,40
299884117,40
971459011,40
1133205320,40
1129989616,40
1443523171,39
757354200,39
9171416415,38
38251671805,38
62366804302,38
48735027102,38
998723520,38
52807105202,38
9521450105,37
1460275971,36
17795777402,36
8073827415,36
12522081005,36
7796630305,36
9170208602,36
86979277002,36
91606202402,36
7053675905,35
78465672402,35
394875691,35
9066795405,35
382637237,34
2088004251,34
21180382,34
6756103505,33
55442676,33
17231427505,33
920404991,33
88165127702,33
928696910,32
60445768902,32
1042414072,32
77596686502,32
6389955105,32
38179289005,32
2019125621,32
10924555725,32
10904816202,32
127906816,31
19835507702,31
91339788802,31
22133808902,31
1759344691,31
17902523025,31
6872281905,30
19381923405,30
223415697,30
12856401905,30
97450357,30
21065630305,30
1277556431,30
10943491315,30
635717661,30
90870138702,30
479797190,30
52854200302,30
615402051,29
28021317615,29
1904943241,29
61648199802,29
17335652125,29
15706240605,29
51774137302,28
22177647105,28
37503714915,28
807781076,28
23469945115,28
1574400721,28
300374667,28
91596988702,28
146136137,28
84545620302,28
91589435702,28
292859676,27
81053585202,27
324782207,27
19195274015,27
360933460,27
9679879415,27
409458760,27
9057783502,27
49690793405,27
15470068815,27
25235964415,27
18694532205,27
40211452905,27
30171651315,27
456643977,26
23836979505,26
446101211,26
1195827141,26
875759851,26
1191455996,26
800756361,26
1258141911,26
474361726,26
75174147902,26
791576950,26
86227767102,26
177467660,26
70952350202,25
120578690,25
79404607302,25
181940680,25
71626750302,25
1556882391,25
19735783715,25
28385430602,25
955303140,25
27708709705,25
821613081,25
34894584405,25
907622992,25
51190556702,25
973908971,25
37943926115,25
687851686,25
34345275115,25
8591846715,25
27084692715,24
8347959515,24
34937562015,24
1683331740,24
52221550202,24
1991896051,24
37851771615,24
1742272031,24
1467947831,24
2018897711,24
1163099151,24
260291946,24
1203870571,24
124599641,24
1595792320,24
288559346,24
1219878720,24
324021737,24
1678553991,24
50914464,24
91602520202,24
894409880,24
62956880902,24
444361491,24
20750284415,24
967910261,24
11726861415,24
450274190,24
11377609215,24
420164271,24
18486058505,24
982001051,24
8849722605,24
507418911,24
532468210,24
879628686,24
513527037,24
1117681176,24
451106397,24
502151510,24
536137936,24
381015430,24
814807101,24
502838547,24
10034310715,23
560068836,23
9481920205,23
499069470,23
14914917302,23
705841406,23
13212150605,23
53696867402,23
9708756702,23
43233874905,23
7101025002,23
48606176902,23
153090877,23
27792993802,23
31463108715,23
8092905805,22
48601472502,22
1787706521,22
45382984102,22
1977282431,22
37691167502,22
1909394020,22
34432479402,22
14202936805,22
46590027102,22
13784447105,22
1193580950,22
13148322615,22
1591090780,22
12427986105,22
1352390211,22
1021323831,22
1467645231,22
759399710,22
1146375811,22
1069847160,22
267057511,22
493140377,22
14420038,22
745887406,22
56071102,22
91529934402,22
346241510,22
90136700402,22
62606781,22
90135107102,22
85079237,22
78427146902,22
82112231002,22
946666201,21
91605536902,21
629780052,21
91601995802,21
467375311,21
65374465302,21
442936871,21
58174200802,21
570230551,21
17644275805,21
463881956,21
13268884415,21
636289420,21
12307880502,21
957147121,21
17913020115,21
640052271,21
22830774715,21
1090212061,21
15333365205,21
837495710,21
16618060705,21
396875560,21
7382593905,21
723954001,21
6790005615,21
504336210,21
2014805300,21
618260471,21
6696083415,21
942176136,21
7597760805,21
27030563715,21
7227882515,21
40327620315,21
1941198350,21
45837375505,21
2020692590,21
26124611105,21
1821143081,21
34433312505,21
8256112615,21
48602213002,21
1725847821,21
31928837615,21
6410764615,21
20031402,21
6977910605,21
142834807,21
8245859502,21
330736241,21
1458184061,21
332560901,21
1679796790,21
10219246,21
1143747426,21
88872591,21
1270958500,21
1144324960,21
1836590611,20
1587127121,20
1742713181,20
1635955581,20
1974011071,20
897656121,20
7727274805,20
909916911,20
91593894502,20
674802820,20
71967690102,20
722565841,20
91278778002,20
541737891,20
91599876802,20
450997130,20
89600601202,20
810801856,20
91553814402,20
977979870,20
78074909902,20
993242746,20
16615521815,20
884056211,20
21258505205,20
860128850,20
12822037205,20
878325901,20
18311651702,20
422634650,20
17202270205,20
504315777,20
19570737215,20
624833670,20
13146873415,20
556109001,20
12628509905,20
8140667,20
19288509315,20
285479640,20
14402007005,20
123457242,20
13151906305,20
9225971,20
22902865505,20
360506787,20
27284745415,20
185185361,20
38047296015,20
195357136,20
40296899505,20
197673096,20
51139037002,20
208938886,20
35764092615,20
25987370705,20
24220119515,20
312864097,19
51776158102,19
50912341,19
29509171515,19
60934380802,19
40836869002,19
91605745202,19
31150928015,19
90030231002,19
35249588115,19
57393472902,19
38864085715,19
77269143402,19
38058180505,19
91390820802,19
38864672715,19
79531506702,19
46444869402,19
90041391202,19
38799169405,19
75194680502,19
38223325315,19
1175311381,19
41714946005,19
1254916781,19
1999638641,19
16247508715,19
2048946431,19
997982446,19
1690022081,19
700554060,19
463048437,19
996171076,19
872636336,19
13484528915,18
595246871,18
15945294515,18
690736970,18
16184667602,18
693205691,18
19884388205,18
558122670,18
10490088915,18
394706486,18
13601522615,18
1009291281,18
11875926015,18
830125466,18
12901053205,18
766803891,18
10287148815,18
557253446,18
10574797835,18
396946267,18
15864550302,18
887221731,18
41802490302,18
912140040,18
31696712515,18
692098330,18
41659439605,18
564043926,18
25660392215,18
1120712870,18
46627023315,18
655938766,18
50725401105,18
522490050,18
45578600302,18
398800366,18
55991319102,18
1129006056,18
42653218402,18
687575060,18
28739736115,18
761786281,18
26488033615,18
534025866,18
30219961412,18
463317937,18
43174591605,18
490794037,18
36254014115,18
723008566,18
23527055205,18
1107233816,18
37035447605,18
387050231,18
48819056102,18
957542470,18
28011119205,18
1064827990,18
271936170,18
623970680,18
276229270,18
829197596,18
284150246,18
1044331310,18
287717750,18
747110276,18
124496477,18
88514322702,18
131848386,18
63023455602,18
320537731,18
72332993402,18
67121846,18
67298505502,18
361697520,18
74513570502,18
73214170,18
67579917002,18
1805647,18
77397543802,18
174865461,18
90228916902,18
17453174,18
91553395602,18
1915559061,18
1425996511,18
7915862005,18
1402593471,18
7050304905,18
1156676161,18
1782749630,18
1182473440,18
1820581421,18
1394647621,18
8266646405,18
1172894710,18
8809161105,18
1527176521,18
1846875141,18
1424295840,18
1867833831,18
1585615441,18
7048911805,18
1637795970,18
1167543310,18
1559880231,18
1658042941,18
58866475502,17
1651933370,17
91449608202,17
1239826901,17
91402115402,17
1544323870,17
75858095502,17
1134630881,17
91115644302,17
664363551,17
78315097102,17
706467760,17
66750786202,17
569992350,17
66868024502,17
13326140915,17
38803322802,17
21668527005,17
32151919015,17
8267303605,17
23500173105,17
6503413605,17
39312845915,17
1991857941,17
51186767202,17
56762013,17
41074782802,17
35383676302,17
55506398402,17
53788502,16
55452767802,16
268582467,16
33413154702,16
18056962,16
36121129715,16
100373572,16
39753749602,16
86862027402,16
29447648902,16
91483727402,16
50395844102,16
86999075202,16
33009036115,16
91588462902,16
31571898615,16
89440061402,16
52234812202,16
62385112802,16
41388124002,16
75903831602,16
36268072515,16
89655039802,16
48754200502,16
64833225902,16
46128930815,16
78393023302,16
38529881205,16
71677358202,16
1633934251,16
90863681802,16
1488216560,16
91527917902,16
1425777051,16
82977610302,16
432239916,16
90145635302,16
1120071256,16
89072102602,16
684601271,16
7560547715,16
898268991,16
8556271415,16
624842571,16
1980769480,16
1047056196,16
6522801305,16
507301096,16
8449100805,16
514381690,16
2015945481,16
824627936,16
6950947305,16
404301251,16
1814649201,16
659509591,16
1794057061,16
673622746,16
21694398505,16
22384491515,16
18253746415,16
12384153502,16
20651387605,16
13968827205,16
12011736415,16
13286197015,16
20847327915,16
16350111305,16
1857680281,15
13650176115,15
2016370611,15
14975482205,15
1903467840,15
15138124405,15
1709233190,15
18640623005,15
1834763490,15
11340787615,15
6911391215,15
12455713305,15
2038249421,15
14064699005,15
1755591140,15
8920879605,15
1740294080,15
9957830805,15
1756729391,15
9421955325,15
7358542515,15
21751739015,15
1759853271,15
22712796315,15
1907534851,15
22764137015,15
1983444181,15
13329537115,15
7182939315,15
14891965202,15
8473573205,15
20678557605,15
6340657305,15
12359310002,15
1713104111,15
12241037015,15
1949621660,15
21906695415,15
1888226010,15
8911977515,15
6853659805,15
9576726005,15
5399208802,15
10878140235,15
1693381051,15
15863037202,15
1711537581,15
15093706525,15
1357744291,15
23277604402,15
1280248291,15
9091910515,15
1428042171,15
21945096605,15
1496031190,15
111528217,15
1273771220,15
115437937,15
1528308080,15
263243800,15
1445744050,15
269893587,15
1440811141,15
271916470,15
1162120390,15
279810241,15
1285849640,15
121603997,15
1150105541,15
122070947,15
1564340031,15
288716791,15
1525451270,15
22937126,15
1390046951,15
305894026,15
1295452520,15
310666630,15
1584022891,15
318576116,15
1639868130,15
60638750,15
1621966510,15
140543616,15
1184184196,15
335711166,15
1204926561,15
150681326,15
1644748721,15
160797190,15
1271527581,15
359907616,15
1172036746,15
71575104,15
1395640470,15
71925964,15
1167132821,15
165557181,15
1163088541,15
172090280,15
1348359051,15
174033067,15
1142769676,15
175971960,15
1169642330,15
183262990,15
1626721531,15
85180911,15
1567195221,15
95685667,15
1169728770,15
221309756,15
1186036256,15
97181854,15
